Year,Cumulative Total of Rain Barrels Installated (Barrel),% 2020 Target Complete,% 2030 Target Complete
2015,4448,3.71,1.39
2016,7253,6.04,2.27
2017,7820,6.52,2.44
2018,8396,7,2.62
2019,9009,7.51,2.82
2020,10029,8.36,3.13
2021,11685,9.74,3.65
2022,12928,10.77,4.04
2023,14125,11.77,4.41
2024,,,
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
